id,v1,v2,type,direction,distance
0,0,1,strefa ruchu uspokojonego 20 i 30 km/h,2,85.6155955702
1,2,3,strefa ruchu uspokojonego 20 i 30 km/h,2,108.519110306
2,3,0,strefa ruchu uspokojonego 20 i 30 km/h,2,116.072516327
3,2,4,strefa ruchu uspokojonego 20 i 30 km/h,2,69.88128507489999
4,3,5,strefa ruchu uspokojonego 20 i 30 km/h,2,66.4682423241
5,0,6,strefa ruchu uspokojonego 20 i 30 km/h,2,70.7452348892
6,1,7,strefa ruchu uspokojonego 20 i 30 km/h,2,65.1619508067
7,8,9,strefa ruchu uspokojonego 20 i 30 km/h,2,67.534436754
8,10,11,strefa ruchu uspokojonego 20 i 30 km/h,2,195.288739962
9,11,12,strefa ruchu uspokojonego 20 i 30 km/h,2,70.9338683965
10,12,13,strefa ruchu uspokojonego 20 i 30 km/h,2,65.4665792655
11,14,15,strefa ruchu uspokojonego 20 i 30 km/h,2,43.9349720066
12,16,17,strefa ruchu uspokojonego 20 i 30 km/h,2,43.3288607996
13,18,19,strefa ruchu uspokojonego 20 i 30 km/h,2,43.307473221
14,20,21,strefa ruchu uspokojonego 20 i 30 km/h,2,77.6736586559
15,22,23,mozliwosc przejazdu,2,309.55930498
16,23,24,mozliwosc przejazdu,2,213.008160237
17,25,26,strefa ruchu uspokojonego 20 i 30 km/h,2,123.86218558600001
18,27,28,strefa ruchu uspokojonego 20 i 30 km/h,2,91.41219397540002
19,29,30,strefa ruchu uspokojonego 20 i 30 km/h,2,77.9652142179
20,31,32,strefa ruchu uspokojonego 20 i 30 km/h,2,113.169036798
21,33,34,strefa ruchu uspokojonego 20 i 30 km/h,2,54.9296536572
22,35,34,strefa ruchu uspokojonego 20 i 30 km/h,2,48.201926102600005
23,36,37,lacznik drogowy,2,86.784893717
24,38,39,strefa ruchu uspokojonego 20 i 30 km/h,2,61.9601384133
25,40,41,strefa ruchu uspokojonego 20 i 30 km/h,2,275.529727649
26,42,43,strefa ruchu uspokojonego 20 i 30 km/h,2,257.899985018
27,43,40,strefa ruchu uspokojonego 20 i 30 km/h,2,274.73694353400003
28,44,45,strefa ruchu uspokojonego 20 i 30 km/h,2,315.097836925
29,46,47,strefa ruchu uspokojonego 20 i 30 km/h,2,105.32724355100001
30,48,46,strefa ruchu uspokojonego 20 i 30 km/h,2,105.299056298
31,48,49,strefa ruchu uspokojonego 20 i 30 km/h,2,106.358460014
32,50,49,strefa ruchu uspokojonego 20 i 30 km/h,2,106.531847336
33,50,51,strefa ruchu uspokojonego 20 i 30 km/h,2,107.067275209
34,52,51,strefa ruchu uspokojonego 20 i 30 km/h,2,91.6958123536
35,52,53,strefa ruchu uspokojonego 20 i 30 km/h,2,77.7969518893
36,54,53,strefa ruchu uspokojonego 20 i 30 km/h,2,109.751525017
37,55,54,strefa ruchu uspokojonego 20 i 30 km/h,2,107.629122168
38,55,56,strefa ruchu uspokojonego 20 i 30 km/h,2,81.4871008416
39,56,57,strefa ruchu uspokojonego 20 i 30 km/h,2,22.5154237417
40,58,59,strefa ruchu uspokojonego 20 i 30 km/h,2,49.192327779399996
41,60,61,strefa ruchu uspokojonego 20 i 30 km/h,2,48.4799320863
42,62,63,strefa ruchu uspokojonego 20 i 30 km/h,2,43.9711662605
43,64,65,strefa ruchu uspokojonego 20 i 30 km/h,2,54.095444495900004
44,66,67,strefa ruchu uspokojonego 20 i 30 km/h,2,84.0052459868
45,66,68,strefa ruchu uspokojonego 20 i 30 km/h,2,77.7444677538
