TYP;KIERUNEK;SHAPE_LEN;vertex_pos;vertex_index;vertex_part;vertex_part_index;distance;angle;xcoord;ycoord;
strefa ruchu uspokojonego 20 i 30 km/h;2;85.6155955702;0;0;0;0;0;305.4889098078474;16.973353400675418;51.079838311478575;
strefa ruchu uspokojonego 20 i 30 km/h;2;85.6155955702;-1;6;0;6;85.61559557040438;308.3099666769929;16.97237052780672;51.080295210835075;
strefa ruchu uspokojonego 20 i 30 km/h;2;108.519110306;0;0;0;0;0;297.27611122593595;16.976133594297735;51.078838463344326;
strefa ruchu uspokojonego 20 i 30 km/h;2;108.519110306;-1;4;0;4;108.51911030576686;301.1603852594795;16.974760173733383;51.07928857404825;
strefa ruchu uspokojonego 20 i 30 km/h;2;116.072516327;0;0;0;0;0;299.535665938969;16.974760173733383;51.07928857404825;
strefa ruchu uspokojonego 20 i 30 km/h;2;116.072516327;-1;8;0;8;116.07251632742154;306.06668740500015;16.973353400675418;51.079838311478575;
strefa ruchu uspokojonego 20 i 30 km/h;2;69.8812850749;0;0;0;0;0;53.808088321825814;16.976133594297735;51.078838463344326;
strefa ruchu uspokojonego 20 i 30 km/h;2;69.8812850749;-1;3;0;3;69.88128507448188;26.531077736123656;16.976602806819237;51.07938559038407;
strefa ruchu uspokojonego 20 i 30 km/h;2;66.4682423241;0;0;0;0;0;29.709883429765686;16.974760173733383;51.07928857404825;
strefa ruchu uspokojonego 20 i 30 km/h;2;66.4682423241;-1;3;0;3;66.46824232499779;30.62964588135739;16.975226527361407;51.07980870142558;
strefa ruchu uspokojonego 20 i 30 km/h;2;70.7452348892;0;0;0;0;0;47.47325146810483;16.973353400675418;51.079838311478575;
strefa ruchu uspokojonego 20 i 30 km/h;2;70.7452348892;-1;4;0;4;70.74523488849526;35.68446586241767;16.97395523300846;51.080346681193404;
strefa ruchu uspokojonego 20 i 30 km/h;2;65.1619508067;0;0;0;0;0;36.151937698020696;16.97237052780672;51.080295210835075;
strefa ruchu uspokojonego 20 i 30 km/h;2;65.1619508067;-1;3;0;3;65.16195080605175;38.189354682900955;16.972932706846183;51.08076174040771;
strefa ruchu uspokojonego 20 i 30 km/h;2;67.534436754;0;0;0;0;0;58.46072502590579;16.971788876903496;51.08059876911341;
strefa ruchu uspokojonego 20 i 30 km/h;2;67.534436754;-1;3;0;3;67.53443675428888;37.274878406772324;16.972389177243734;51.081068378462284;
strefa ruchu uspokojonego 20 i 30 km/h;2;195.288739962;0;0;0;0;0;23.53251205578288;17.12903766814214;51.15928289494032;
strefa ruchu uspokojonego 20 i 30 km/h;2;195.288739962;-1;6;0;6;195.28873996157122;32.19848555125232;17.13014726058516;51.16089293971641;
strefa ruchu uspokojonego 20 i 30 km/h;2;70.9338683965;0;0;0;0;0;24.50452490721885;17.13014726058516;51.16089293971641;
strefa ruchu uspokojonego 20 i 30 km/h;2;70.9338683965;-1;4;0;4;70.93386839607895;22.99638794271876;17.130539955663828;51.161480756370416;
