id,x,y
0,6428061.892000001,5661033.227999999
1,6427993.732000001,5661085.012999999
2,6428255.152000001,5660919.295
3,6428159.6123,5660970.7031999985
4,6428288.876,5660979.698999999
5,6428193.095,5661028.106000002
6,6428104.85,5661089.19
7,6428033.847,5661136.358999998
8,6427953.448,5661119.3489999985
9,6427996.239,5661171.0
10,6439075.23,5669730.027000002
11,6439154.964,5669908.210000001
12,6439183.205,5669973.274
13,6439209.2639999995,5670033.3270000005
14,6430996.522000001,5659485.392000001
15,6430997.31,5659529.318
16,6430922.07,5659485.643999998
17,6430922.719,5659528.967999999
18,6430841.152000001,5659495.777000002
19,6430851.332,5659537.870999998
20,6432247.918,5660099.393999998
21,6432248.017999999,5660021.721999999
22,6432188.869,5660022.461999998
23,6431879.3413,5660020.081
24,6431666.339,5660021.566000001
25,6432316.1057,5660956.8412
26,6432303.3889999995,5660972.005000001
27,6437411.302,5663105.407000001
28,6437322.326,5663126.248
29,6437165.707,5663169.941000001
30,6437240.772000001,5663148.880999999
31,6436951.68,5663229.925000002
32,6437060.594,5663199.185000001
33,6431944.6924,5665191.2503
34,6431957.643999999,5665137.875
35,6431911.5479999995,5665123.783
36,6422342.367000001,5668339.579
37,6422322.5921,5668255.0770999985
38,6430962.518999999,5661237.42
39,6430903.612000001,5661256.630000001
40,6427465.39,5664033.8900000015
41,6427551.535,5663772.205
42,6427378.807999999,5664558.078
43,6427404.484,5664301.58
44,6426436.96,5662485.6510000015
45,6426726.757,5662607.4169999985
46,6437705.086,5662984.211999998
47,6437809.206,5663000.112000001
48,6437600.68,5662970.59
49,6437494.943,5662959.119000001
50,6437388.902000001,5662949.396000001
51,6437282.549,5662958.8599999985
52,6437193.95,5662982.397999999
53,6437118.991,5663003.219000001
54,6437013.411,5663033.19
55,6436909.561000001,5663061.432999999
56,6436829.399,5663075.941000001
57,6436807.011,5663078.3330000015
58,6438007.302,5663091.061000002
59,6438032.154,5663048.618000002
60,6438045.488,5663107.870999998
61,6438068.27,5663065.081
62,6438081.674,5663126.6
63,6438102.547,5663087.899
64,6438116.102999999,5663145.6510000015
65,6438142.546,5663098.459000002
66,6434441.848999999,5658037.94
67,6434525.6473,5658032.0471
68,6434453.5256,5657961.077400002
69,6433475.018999999,5661628.844000001
70,6433511.438999999,5661632.704
71,6433455.649,5661671.659
72,6433438.741,5661702.363
73,6433398.016,5661601.568
74,6433402.458,5661684.385
75,6433394.7981,5661545.261399998
76,6431974.879,5665374.414000001
77,6432132.751,5665397.296
78,6420081.791,5669356.437999999
79,6420140.312999999,5669335.969000001
80,6420356.881,5669260.663000002
81,6420494.73,5669213.3330000015
82,6420303.377,5669279.054
83,6439303.026000001,5670245.802999998
84,6439371.092999999,5670231.037000001
85,6438993.415,5670245.183999999
86,6439091.378,5670248.902000002
87,6438853.627,5670239.823000001
88,6439185.181,5670258.719000001
89,6439301.364,5670241.711999998
90,6439129.586,5670252.426999999
91,6432157.208,5664528.154999998
92,6432166.168,5664560.3330000015
93,6432168.438999999,5664568.512999999
94,6432170.517999999,5664578.44
95,6432156.021000001,5664521.2990000015
96,6432135.203,5664447.162000001
97,6432168.9861,5664580.6533
98,6432187.0601,5664699.6173
99,6432581.7578,5661865.9495
100,6432557.0604,5661870.5682999985
101,6432558.2472,5661863.3652
102,6432546.1767,5661857.9155
103,6432786.7791,5660679.0747
104,6432772.0696,5660681.789899998
105,6432809.3127,5660677.909399998
106,6432804.7777,5660673.842900001
107,6432804.1833,5660724.4585
108,6432800.7013,5660661.443800001
109,6432801.9812,5660678.215399999
110,6432796.4763,5660629.4312
111,6432772.5512,5660664.987299998
112,6432799.3425,5660649.384299999
113,6432781.3389,5660635.6917
114,6432809.1088,5660729.2547
115,6432809.3409,5660731.6906
116,6432785.7909,5660590.4169999985
117,6432791.8129,5660598.312200001
118,6432595.2399,5663668.771000001
119,6432627.4817,5663794.4878
120,6432589.4629999995,5663644.4229999995
121,6432573.6292,5663674.728499998
122,6432567.1198,5663649.986199998
